Feature Sets 1,Feature Sets 2,w,p,Result (p<0.5),,,,,,,,,,,,
CLW(T3Pattern),CLW(T3Token),2,0.024883995,s,,CLW(T3Pattern),CLW(T3Token),CCFinder,CLW(T2Blind),ConQAT,iClones,Simian,Nicad,SimCAD,CLW(T1),Duplo
CLW(T3Pattern),Deckard,12.5,0.440647897,-1,,,,,,,,,,,,
CLW(T3Pattern),CCFinder,3,0.0356919,s,,CLW(T3Token),CLW(T2Blind),ConQAT,iClones,Simian,Nicad,SimCAD,CLW(T1),Duplo,,
CLW(T3Pattern),CLW(T2Blind),0,0.011718686,s,,Deckard,CLW(T2Blind),iClones,Simian,Nicad,SimCAD,CLW(T1),Duplo,,,
CLW(T3Pattern),ConQAT,0,0.011718686,s,,,,,,,,,,,,
CLW(T3Pattern),iClones,0,0.011718686,s,,,,,,,,,,,,
CLW(T3Pattern),Simian,0,0.017960478,s,,,,,,,,,,,,
CLW(T3Pattern),Nicad,0,0.011616045,s,,,,,,,,,,,,
CLW(T3Pattern),SimCAD,0,0.011616045,s,,,,,,,,,,,,
CLW(T3Pattern),CLW(T1),0,0.011616045,s,,,,,,,,,,,,
CLW(T3Pattern),Duplo,0,0.011718686,s,,,,,,,,,,,,
CLW(T3Token),Deckard,15,0.674424072,-1,,,,,,,,,,,,
CLW(T3Token),CCFinder,5.5,0.079688026,-1,,,,,,,,,,,,
CLW(T3Token),CLW(T2Blind),0,0.011718686,s,,,,,,,,,,,,
CLW(T3Token),ConQAT,1,0.017290281,s,,,,,,,,,,,,
CLW(T3Token),iClones,0,0.011718686,s,,,,,,,,,,,,
CLW(T3Token),Simian,0,0.011616045,s,,,,,,,,,,,,
CLW(T3Token),Nicad,0,0.011718686,s,,,,,,,,,,,,
CLW(T3Token),SimCAD,0,0.011616045,s,,,,,,,,,,,,
CLW(T3Token),CLW(T1),0,0.011718686,s,,,,,,,,,,,,
CLW(T3Token),Duplo,0,0.011718686,s,,,,,,,,,,,,
Deckard,CCFinder,9,0.206462587,-1,,,,,,,,,,,,
Deckard,CLW(T2Blind),1.5,0.020706216,s,,,,,,,,,,,,
Deckard,ConQAT,3,0.062979051,-1,,,,,,,,,,,,
Deckard,iClones,3,0.035465865,s,,,,,,,,,,,,
Deckard,Simian,2,0.024883995,s,,,,,,,,,,,,
Deckard,Nicad,3.5,0.042062733,s,,,,,,,,,,,,
Deckard,SimCAD,0,0.011718686,s,,,,,,,,,,,,
Deckard,CLW(T1),0,0.011718686,s,,,,,,,,,,,,
Deckard,Duplo,0,0.011616045,s,,,,,,,,,,,,
CCFinder,CLW(T2Blind),9,0.206462587,-1,,,,,,,,,,,,
CCFinder,ConQAT,1.5,0.020706216,s,,,,,,,,,,,,
CCFinder,iClones,0,0.011310671,s,,,,,,,,,,,,
CCFinder,Simian,0,0.011718686,s,,,,,,,,,,,,
CCFinder,Nicad,6,0.09128957,-1,,,,,,,,,,,,
CCFinder,SimCAD,0,0.011718686,s,,,,,,,,,,,,
CCFinder,CLW(T1),0,0.011718686,s,,,,,,,,,,,,
CCFinder,Duplo,0,0.011616045,s,,,,,,,,,,,,
CLW(T2Blind),ConQAT,10,0.916282441,-1,,,,,,,,,,,,
CLW(T2Blind),iClones,13,0.483839851,-1,,,,,,,,,,,,
CLW(T2Blind),Simian,12,0.400236144,-1,,,,,,,,,,,,
CLW(T2Blind),Nicad,11,0.326395777,-1,,,,,,,,,,,,
CLW(T2Blind),SimCAD,4,0.089814344,-1,,,,,,,,,,,,
CLW(T2Blind),CLW(T1),0,0.011718686,s,,,,,,,,,,,,
CLW(T2Blind),Duplo,0,0.011718686,s,,,,,,,,,,,,
ConQAT,iClones,7,0.123025194,-1,,,,,,,,,,,,
ConQAT,Simian,7.5,0.140505541,-1,,,,,,,,,,,,
ConQAT,Nicad,13.5,0.528106125,-1,,,,,,,,,,,,
ConQAT,SimCAD,7.5,0.139036939,-1,,,,,,,,,,,,
ConQAT,CLW(T1),1,0.017290281,s,,,,,,,,,,,,
ConQAT,Duplo,0,0.011616045,s,,,,,,,,,,,,
iClones,Simian,7.5,0.270181096,-1,,,,,,,,,,,,
iClones,Nicad,18,1,-1,,,,,,,,,,,,
iClones,SimCAD,11,0.61208988,-1,,,,,,,,,,,,
iClones,CLW(T1),1,0.027991815,s,,,,,,,,,,,,
iClones,Duplo,0,0.011310671,s,,,,,,,,,,,,
Simian,Nicad,17,0.888365699,-1,,,,,,,,,,,,
Simian,SimCAD,17.5,0.944045426,-1,,,,,,,,,,,,
Simian,CLW(T1),4,0.172954918,-1,,,,,,,,,,,,
Simian,Duplo,0,0.011616045,s,,,,,,,,,,,,
Nicad,SimCAD,13.5,0.93252633,-1,,,,,,,,,,,,
Nicad,CLW(T1),6,0.092891941,-1,,,,,,,,,,,,
Nicad,Duplo,0,0.017755923,s,,,,,,,,,,,,
SimCAD,CLW(T1),1,0.017290281,s,,,,,,,,,,,,
SimCAD,Duplo,0,0.011718686,s,,,,,,,,,,,,
CLW(T1),Duplo,3,0.06110093,-1,,,,,,,,,,,,
